date,HF_Rates,HF_Credit,HF_FX,HF_Liquidity,HF_Growth,HF_Inflation,Raw_Growth,Raw_Inflation,Raw_Liquidity,Raw_Credit,Raw_Rates,Raw_FX
2025-06-16,-0.15180002887416577,0.026711153519924258,0.08151569724035301,0.37280131103200675,0.017369993323872582,0.30433260132526413,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-17,-0.152508091668898,0.027443364471402942,0.08990362352456271,0.3691153867774019,0.01582644417946831,0.29774390869727485,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-18,-0.15255977280941624,0.027460839247372526,0.09076377329181629,0.36491557141892156,0.014846924792262,0.30782875592962144,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-19,-0.15254473907277166,0.027615922746450305,0.09076377329181629,0.3428602310734821,0.008960438573189681,0.30940360571391773,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-20,-0.15274299945536707,0.02796790316261566,0.08876185225647926,0.32953801608958044,0.013296274140962546,0.3168446039547022,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-21,-0.15274299945536707,0.02796790316261566,0.08876185225647926,0.32953801608958044,0.013296274140962546,0.31418573515991993,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-22,-0.15274299945536707,0.02796790316261566,0.08876185225647926,0.32953801608958044,0.013296274140962546,0.30901508302492064,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-23,-0.1528951881543228,0.027759433060388528,0.0858137330754688,0.3417158944373285,0.016667247808236568,0.30801128008334633,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-24,-0.15205076333067513,0.026684730247907074,0.08014392328844233,0.36571725556255263,0.02162063338534582,0.29456747000084116,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-25,-0.15149705191303298,0.02628961925902329,0.0783147422301742,0.38248715930210186,0.026926279196636593,0.2809640376314356,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-26,-0.15161933096888824,0.02659014176217178,0.07286833102612833,0.3738221262645261,0.02930227142805108,0.2836560917589705,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-27,-0.15174441655376203,0.027151021809759368,0.07548292540372092,0.38412286487062797,0.03273822475918202,0.2857481246845562,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-28,-0.15174441655376203,0.027151021809759368,0.07548292540372092,0.38412286487062797,0.03273822475918202,0.28662149524667874,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-29,-0.15174441655376203,0.027151021809759368,0.07548292540372092,0.38412286487062797,0.03273822475918202,0.2838346450223105,-0.18970272277630493,-1.2797998743445134,0.17163528988784135,-1.5459884967775286,-1.7522773000813954,0.07358532929587042
2025-06-30,-0.15113881473695656,0.026098907405679772,0.07008257017122843,0.41792952064633326,0.031248888663354082,0.28425420774158217,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-01,-0.15202142145662356,0.0267546608471535,0.06950450565509947,0.4282358678865836,0.03205113320266129,0.28359038112898716,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-02,-0.1531260572605493,0.027688841740742487,0.06906037795289222,0.41394984417818953,0.03472581218166983,0.29990120325594055,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-03,-0.15282273498955767,0.027162854829579475,0.0732349666939025,0.4189388557058292,0.033159896948119584,0.3030965199870183,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-04,-0.1528020689998587,0.027007725417174777,0.0732349666939025,0.4097421416779377,0.029693956245715882,0.30664173873759465,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-05,-0.1528020689998587,0.027007725417174777,0.0732349666939025,0.4097421416779377,0.029693956245715882,0.3054478898325511,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-06,-0.1528020689998587,0.027007725417174777,0.0732349666939025,0.4097421416779377,0.029693956245715882,0.30356048285700227,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-07,-0.15279925085211454,0.026622569061430568,0.07632202164348056,0.41437544311167707,0.027814306568160738,0.30494998289558833,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-08,-0.15261137380636824,0.026053437295611492,0.07669132816789581,0.43361034155958406,0.03502116822858719,0.3064761134125176,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-09,-0.15256063747182413,0.026324949178545776,0.07709126253764031,0.42972478498324856,0.03065345364017486,0.3084487074531021,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-10,-0.15136451467614775,0.02532344371599482,0.07808557343918299,0.4330523700966963,0.03756216932696978,0.3207827525013398,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-11,-0.1510032725677356,0.02549123932611419,0.08014390301768626,0.4482125082006574,0.03767106084368685,0.31561723919947116,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-12,-0.1510032725677356,0.02549123932611419,0.08014390301768626,0.4482125082006574,0.03767106084368685,0.3137619328560463,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-13,-0.1510032725677356,0.02549123932611419,0.08014390301768626,0.4482125082006574,0.03767106084368685,0.31274422584239225,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-14,-0.1502071234450525,0.024758917160104255,0.0824739286684073,0.44878485178855154,0.03524038415505285,0.32136206767401343,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-15,-0.15080612379258562,0.026194702089252453,0.08792860388582957,0.4462146951899054,0.036570608134400925,0.3169938500822366,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-16,-0.15127204780461512,0.02591367244949183,0.08565716720212713,0.4534866837207957,0.03463881772960496,0.31221117665766,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-17,-0.15132943796361398,0.025632187904643833,0.08913305955109863,0.4700329869911195,0.03477475138529311,0.31594130078607374,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-18,-0.15090232916093915,0.02493265177581272,0.0865807472777177,0.4750217356140335,0.04099382928704515,0.32137918975124385,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-19,-0.15090232916093915,0.02493265177581272,0.0865807472777177,0.4750217356140335,0.04099382928704515,0.31937919430444817,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-20,-0.15090232916093915,0.02493265177581272,0.0865807472777177,0.4750217356140335,0.04099382928704515,0.3202175520418971,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-21,-0.14996774708289162,0.02410751266893474,0.08019379331658771,0.49653912907319364,0.047771111734879995,0.3341368948748587,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-22,-0.1489013456977003,0.02322875815480807,0.07548264496140189,0.5082663449036021,0.05100261966794349,0.34441984583002583,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-23,-0.14751788200254135,0.02289218435153484,0.07365497944472699,0.5006178329880255,0.0545037537260609,0.3352729201655565,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
2025-07-24,-0.145304295454046,0.021594618316012393,0.07533169267533157,0.5281438701360791,0.058257542066120126,0.33861085056259227,-0.23369711701617388,-1.3009246424458336,0.2558154986574967,-1.2717546799815345,-1.7929934787911834,-0.40081598643021854
